AAPL R735QTJ8XC9X,AAPL,,Buy,degas wright
AAPL R735QTJ8XC9X,AAPL,,Hold,brian kelly
ABBV VCY032R250MD,ABBV,,Buy,jim cramer
ABBV VCY032R250MD,ABBV,buy calls,Buy,pete najarian
