20220225,,Hold,jon najarian
20220303,,Buy,dan nathan
20220303,,Sell,dan nathan
20220304,,Hold,tim seymour
20220308,,Buy,stephanie link
20220311,,Hold,steve grasso
20220314,,Hold,kevin o'leary
20220322,,Hold,pete najarian
20220323,,Buy,shannon saccocia, degas wright, jon najarian
20220325,,Hold,pete najarian
20220325,,Buy,bryn talkington
20220328,,Hold,steve grasso
20220329,,Buy,stephanie link, josh brown, pete najarian
20220330,,Buy,kourtney gibson, rob sechan
20220330,,Hold,joe terranova
20220331,,Buy,dan nathan
20220331,,Buy,bonawyn eisen
20220331,,Sell,dan nathan
20220411,,Hold,jim cramer
20220412,,Buy,stephanie link
20220428,,Buy,dan nathan
20220428,,Hold,rob sechan
20220428,,Buy,jon najarian
20220429,,Sell,jeff mills
20220502,,Buy,joe terranova
20220502,,Sell,jeff mills
20220506,,Buy,kevin o'leary
20220517,,Hold,josh brown
20220518,,Hold,steve weiss
20220519,,Hold,josh brown
20220519,,Hold,steve weiss
20220520,,Buy,dan nathan
20220520,,Hold,shannon saccocia
20220520,,Buy,tim seymour
20220520,,Buy,bonawyn eisen
20220520,,Buy,carter worth
20220525,,Hold,karen firestone
20220603,,Buy,courtney dominguez
20220603,,Buy,bryn talkington
20220603,,Buy,carter worth
