,Buy,Jon Najarian
20211209,,Buy,Jim Cramer
20211209,,Buy,Jim Lebenthal, Karen Firestone
20211210,,Hold,Pete Najarian
20211213,,Buy,Jon Najarian, Joe Terranova
20211214,buy calls
,Buy,Jon Najarian
20211223,,Hold,Steve Grasso
20211223,,Buy,Steve Grasso
20211228,,Buy,Michael Farr
20211229,,Hold,Steve Grasso
20220104,,Hold,Jim Lebenthal
20220125,,Buy,Jim Lebenthal
20220126,,Hold,Pete Najarian
20220127,,Buy,Degas Wright
20220127,,Hold,Brian Kelly
20220128,,Hold,Steve Grasso
20220201,,Buy,Stephanie Link
20220216,buy calls
,Buy,Pete Najarian
20220223,,Buy,Jon Najarian
20220225,,Buy,Dan Nathan
20220225,,Buy,Carter Worth
20220225,,Hold,Jon Najarian
20220303,,Buy,Dan Nathan
20220303,,Sell,Dan Nathan
20220304,,Hold,Tim Seymour
20220308,,Buy,Stephanie Link
20220311,,Hold,Steve Grasso
20220314,,Hold,Kevin O'Leary
20220322,,Hold,Pete Najarian
20220323,,Buy,Shannon Saccocia, Degas Wright, Jon Najarian
20220325,,Buy,Bryn Talkington
20220325,,Hold,Pete Najarian
20220328,,Hold,Steve Grasso
20220329,,Buy,Stephanie Link, Josh Brown, Pete Najarian
20220330,,Hold,Joe Terranova
20220330,,Buy,Kourtney Gibson, Rob Sechan
20220331,,Buy,Dan Nathan
20220331,,Sell,Dan Nathan
20220331,,Buy,Bonawyn Eisen
20220411,,Hold,Jim Cramer
20220412,,Buy,Stephanie Link
20220428,,Hold,Rob Sechan
20220428,,Buy,Jon Najarian
20220428,,Buy,Dan Nathan
20220429,,Sell,Jeff Mills
20220502,,Buy,Joe Terranova
20220502,,Sell,Jeff Mills
20220506,,Buy,Kevin O'Leary
20220517,,Hold,Josh Brown
20220518,,Hold,Steve Weiss
20220519,,Hold,Steve Weiss
20220519,,Hold,Josh Brown
20220520,,Buy,Bonawyn Eisen
20220520,,Buy,Carter Worth
20220520,,Buy,Dan Nathan
20220520,,Hold,Shannon Saccocia
20220520,,Buy,Tim Seymour
